city,市,m_15-19,m_20-24,m_25-29,f_15-19,f_20-24,f_25-29,male_uni_student,female_uni_student,student_total,population,male_move,female_move
Sapporo,札幌市,518,197,172,838,1239,196,26780,17610,44390,1952356,887,2273
Sendai,仙台市,638,314,110,620,679,-28,21796,17548,39344,1082159,1062,1271
Saitama,さいたま市,436,911,585,270,1074,715,9556,4856,14412,1263979,1932,2059
Chiba,千葉市,265,489,-38,265,345,-169,12145,10343,22488,971882,716,441
Tokyo,特別区部,4434,23602,10216,5367,27772,9750,245162,217508,462670,9272740,38252,42889
Yokohama,横浜市,949,2245,-308,825,2952,-41,43924,31208,75132,3724844,2886,3736
Kawasaki,川崎市,847,3288,1007,676,3527,1536,15592,12458,28050,1475213,5142,5739
Sagamihara,相模原市,237,158,-15,280,4,-273,6621,10117,16738,720780,380,11
Nigata,新潟市,-67,-439,-16,32,-393,53,10407,9293,19700,810157,-522,-308
Shizuoka,静岡市,-49,-76,7,-65,-129,-97,7697,6713,14410,704989,-118,-291
Hamamatsu,浜松市,-195,64,54,-178,-205,69,5406,4332,9738,797980,-77,-314
Nagoya,名古屋市,356,2768,302,502,2556,557,47703,43011,90714,2295638,3426,3615
Kyoto,京都市,980,-129,-762,904,1048,-718,63300,61026,124326,1475183,89,1234
Osaka,大阪市,614,4035,1635,1024,5588,1409,16810,9780,26590,2691185,6284,8021
Sakai,堺市,17,-177,-77,2,38,-28,6149,4286,10435,839310,-237,12
Kobe,神戸市,153,-495,-491,222,393,-589,29763,32991,62754,1537272,-833,26
Okayama,岡山市,46,69,-48,148,253,19,14584,11970,26554,719474,67,420
Hiroshima,広島市,118,300,-37,169,351,67,15268,15133,30401,1194034,381,587
Kitakyusyu,北九州市,128,-445,-112,67,-428,-281,9885,8930,18815,961286,-429,-642
Fukuoka,福岡市,742,1406,628,1084,2929,329,37533,26431,63964,1538681,2776,4342
kumamoto,熊本市,5,-249,82,12,-45,-37,12501,10056,22557,740822,-162,-70
