year,place,total_pop,male_pop,female_pop
2020,札幌市,"1,973,395","918,682","1,054,713"
2020,函館市,"251,084","113,965","137,119"
2020,小樽市,"111,299","50,136","61,163"
2020,旭川市,"329,306","152,108","177,198"
2020,室蘭市,"82,383","40,390","41,993"
2020,釧路市,"165,077","77,506","87,571"
2020,帯広市,"166,536","79,623","86,913"
2020,北見市,"115,480","54,729","60,751"
2020,夕張市,"7,334","3,381","3,953"
2020,岩見沢市,"79,306","37,105","42,201"
2020,網走市,"35,759","18,060","17,699"
2020,留萌市,"20,114","9,649","10,465"
2020,苫小牧市,"170,113","83,522","86,591"
2020,稚内市,"33,563","16,651","16,912"
2020,美唄市,"20,413","9,565","10,848"
2020,芦別市,"12,555","5,762","6,793"
2020,江別市,"121,056","57,523","63,533"
2020,赤平市,"9,698","4,388","5,310"
2020,紋別市,"21,215","9,901","11,314"
2020,士別市,"17,858","8,416","9,442"
2020,名寄市,"27,282","13,322","13,960"
2020,三笠市,"8,040","3,631","4,409"
2020,根室市,"24,636","11,762","12,874"
2020,千歳市,"97,950","49,790","48,160"
2020,滝川市,"39,490","18,832","20,658"
2020,砂川市,"16,486","7,607","8,879"
2020,歌志内市,"2,989","1,399","1,590"
2020,深川市,"20,039","9,362","10,677"
2020,富良野市,"21,131","9,947","11,184"
2020,登別市,"46,391","22,146","24,245"
2020,恵庭市,"70,331","34,088","36,243"
2020,伊達市,"32,826","15,176","17,650"
2020,北広島市,"58,171","27,763","30,408"
2020,石狩市,"56,869","27,324","29,545"
2020,北斗市,"44,302","20,542","23,760"
2020,青森市,"275,192","128,049","147,143"
2020,弘前市,"168,466","77,251","91,215"
2020,八戸市,"223,415","106,818","116,597"
2020,黒石市,"31,946","14,789","17,157"
2020,五所川原市,"51,415","23,252","28,163"
2020,十和田市,"60,378","28,685","31,693"
2020,三沢市,"39,152","19,602","19,550"
2020,むつ市,"54,103","26,104","27,999"
2020,つがる市,"30,934","14,363","16,571"
2020,平川市,"30,567","14,188","16,379"
2020,盛岡市,"289,731","136,919","152,812"
2020,宮古市,"50,369","24,381","25,988"
2020,大船渡市,"34,728","16,679","18,049"
2020,花巻市,"93,193","44,423","48,770"
2020,北上市,"93,045","46,852","46,193"
2020,久慈市,"33,043","15,883","17,160"
2020,遠野市,"25,366","12,222","13,144"
2020,一関市,"111,932","54,254","57,678"
2020,陸前高田市,"18,262","8,831","9,431"
2020,釜石市,"32,078","15,369","16,709"
2020,二戸市,"25,513","11,993","13,520"
2020,八幡平市,"24,023","11,509","12,514"
2020,奥州市,"112,937","54,840","58,097"
2020,滝沢市,"55,579","27,146","28,433"
2020,仙台市,"1,096,704","531,617","565,087"
2020,石巻市,"140,151","68,338","71,813"
2020,塩竈市,"52,203","24,877","27,326"
2020,気仙沼市,"61,147","29,905","31,242"
2020,白石市,"32,758","15,976","16,782"
2020,名取市,"78,718","38,567","40,151"
2020,角田市,"27,976","13,797","14,179"
2020,多賀城市,"62,827","31,359","31,468"
2020,岩沼市,"44,068","21,684","22,384"
2020,登米市,"76,037","37,163","38,874"
2020,栗原市,"64,637","31,134","33,503"
2020,東松島市,"39,098","19,089","20,009"
