year,place,total_15_19,total_20_24,total_25_29,m_15_19,m_20_24,m_25_29,f_15_19,f_20_24,f_25_29,city_county
2016,札幌市,1485.0,1643.0,205.0,588.0,463.0,75.0,897.0,1180.0,130.0,city
2016,函館市,-325.0,-322.0,-169.0,-213.0,-153.0,-59.0,-112.0,-169.0,-110.0,city
2016,小樽市,-16.0,-333.0,-192.0,-21.0,-189.0,-58.0,5.0,-144.0,-134.0,city
2016,旭川市,-242.0,-283.0,-286.0,-155.0,-99.0,-97.0,-87.0,-184.0,-189.0,city
2016,室蘭市,96.0,-208.0,-159.0,108.0,-138.0,-95.0,-12.0,-70.0,-64.0,city
2016,釧路市,-16.0,-241.0,-105.0,11.0,-83.0,-50.0,-27.0,-158.0,-55.0,city
2016,帯広市,21.0,-87.0,-77.0,-18.0,22.0,-49.0,39.0,-109.0,-28.0,city
2016,北見市,-145.0,-224.0,5.0,-51.0,-123.0,0.0,-94.0,-101.0,5.0,city
2016,夕張市,-11.0,-24.0,-3.0,-5.0,-13.0,0.0,-6.0,-11.0,-3.0,city
2016,岩見沢市,-29.0,-189.0,-84.0,-5.0,-95.0,-38.0,-24.0,-94.0,-46.0,city
2016,網走市,48.0,-88.0,-50.0,37.0,-53.0,-25.0,11.0,-35.0,-25.0,city
2016,留萌市,-19.0,-14.0,17.0,8.0,8.0,-1.0,-27.0,-22.0,18.0,city
2016,苫小牧市,-159.0,-75.0,6.0,-77.0,-10.0,29.0,-82.0,-65.0,-23.0,city
2016,稚内市,-80.0,44.0,-24.0,-30.0,40.0,-6.0,-50.0,4.0,-18.0,city
2016,美唄市,-13.0,-100.0,-39.0,2.0,-35.0,-20.0,-15.0,-65.0,-19.0,city
2016,芦別市,-20.0,-52.0,-22.0,-12.0,-25.0,-5.0,-8.0,-27.0,-17.0,city
2016,江別市,221.0,-532.0,-84.0,137.0,-330.0,-54.0,84.0,-202.0,-30.0,city
2016,赤平市,-10.0,-10.0,-9.0,-8.0,-3.0,-5.0,-2.0,-7.0,-4.0,city
2016,紋別市,-63.0,6.0,17.0,-42.0,16.0,17.0,-21.0,-10.0,0.0,city
2016,士別市,-52.0,-73.0,-30.0,-36.0,-30.0,-20.0,-16.0,-43.0,-10.0,city
2016,名寄市,78.0,-26.0,12.0,48.0,13.0,9.0,30.0,-39.0,3.0,city
2016,三笠市,-26.0,-10.0,6.0,-10.0,2.0,5.0,-16.0,-12.0,1.0,city
2016,根室市,-77.0,-12.0,-16.0,-47.0,-1.0,-14.0,-30.0,-11.0,-2.0,city
2016,千歳市,323.0,-61.0,-64.0,235.0,-92.0,-72.0,88.0,31.0,8.0,city
2016,滝川市,119.0,-144.0,2.0,96.0,-108.0,9.0,23.0,-36.0,-7.0,city
2016,砂川市,-9.0,-13.0,-11.0,-8.0,-9.0,4.0,-1.0,-4.0,-15.0,city
2016,歌志内市,-2.0,-14.0,-5.0,-3.0,-7.0,-3.0,1.0,-7.0,-2.0,city
2016,深川市,47.0,-95.0,-19.0,46.0,-48.0,-3.0,1.0,-47.0,-16.0,city
2016,富良野市,-50.0,-42.0,-15.0,-29.0,-6.0,5.0,-21.0,-36.0,-20.0,city
2016,登別市,-2.0,-204.0,4.0,26.0,-117.0,9.0,-28.0,-87.0,-5.0,city
2016,恵庭市,74.0,-205.0,19.0,43.0,-125.0,-2.0,31.0,-80.0,21.0,city
2016,伊達市,-46.0,-85.0,-16.0,-14.0,-38.0,-15.0,-32.0,-47.0,-1.0,city
2016,北広島市,-35.0,-215.0,-30.0,-14.0,-108.0,0.0,-21.0,-107.0,-30.0,city
2016,石狩市,-52.0,-191.0,-39.0,-35.0,-87.0,-13.0,-17.0,-104.0,-26.0,city
2016,北斗市,-109.0,-108.0,-6.0,-67.0,-37.0,0.0,-42.0,-71.0,-6.0,city
2016,石狩振興局,-2.0,-120.0,-44.0,-7.0,-62.0,-23.0,5.0,-58.0,-21.0,county
2016,渡島総合振興局,-320.0,-252.0,32.0,-181.0,-149.0,11.0,-139.0,-103.0,21.0,county
2016,檜山振興局,-80.0,-28.0,1.0,-44.0,20.0,4.0,-36.0,-48.0,-3.0,county
2016,後志総合振興局,-194.0,-48.0,52.0,-90.0,24.0,38.0,-104.0,-72.0,14.0,county
2016,空知総合振興局,-140.0,-257.0,-46.0,-82.0,-81.0,-37.0,-58.0,-176.0,-9.0,county
2016,上川総合振興局,-149.0,-184.0,22.0,-63.0,-67.0,18.0,-86.0,-117.0,4.0,county
2016,留萌振興局,-58.0,-57.0,24.0,-24.0,-26.0,19.0,-34.0,-31.0,5.0,county
2016,宗谷総合振興局,-70.0,25.0,9.0,-31.0,44.0,22.0,-39.0,-19.0,-13.0,county
