"","","/都市間移動者数・その他","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数","転入超過数"
"","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","全国・都道府県・市区町村2018～","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","全国市部","","11,212","21,945","6,427","5,926","9,194","3,310","5,286","12,751","3,117"
"日本人移動者","全国郡部","","-11,212","-21,945","-6,427","-5,926","-9,194","-3,310","-5,286","-12,751","-3,117"
"日本人移動者","北海道市部","","1,095","-2,759","-1,371","569","-1,638","-627","526","-1,121","-744"
"日本人移動者","北海道郡部","","-1,973","-1,973","-90","-888","-707","-78","-1,085","-1,266","-12"
"日本人移動者","札幌市","","1,514","1,300","13","677","327","-9","837","973","22"
"日本人移動者","函館市","","-357","-335","-156","-214","-161","-53","-143","-174","-103"
"日本人移動者","小樽市","","-22","-363","-193","-21","-197","-61","-1","-166","-132"
"日本人移動者","旭川市","","-263","-225","-214","-184","-96","-88","-79","-129","-126"
"日本人移動者","室蘭市","","85","-145","-109","106","-112","-58","-21","-33","-51"
"日本人移動者","釧路市","","97","-388","-82","78","-185","-33","19","-203","-49"
"日本人移動者","帯広市","","-76","18","-11","-78","41","14","2","-23","-25"
"日本人移動者","北見市","","-121","-142","-10","-72","-73","-1","-49","-69","-9"
"日本人移動者","夕張市","","-17","-16","-6","-6","-2","-6","-11","-14","0"
"日本人移動者","岩見沢市","","-41","-203","-42","-18","-94","-11","-23","-109","-31"
"日本人移動者","網走市","","22","-131","-64","13","-76","-37","9","-55","-27"
"日本人移動者","留萌市","","-41","-40","-3","-5","-25","3","-36","-15","-6"
"日本人移動者","苫小牧市","","-220","-33","62","-132","11","33","-88","-44","29"
"日本人移動者","稚内市","","-73","-13","-41","-46","13","-15","-27","-26","-26"
"日本人移動者","美唄市","","-20","-61","-28","-15","-17","-13","-5","-44","-15"
"日本人移動者","芦別市","","-8","-44","-11","3","-28","-2","-11","-16","-9"
"日本人移動者","江別市","","302","-554","-97","188","-296","-61","114","-258","-36"
"日本人移動者","赤平市","","-18","-8","-15","-6","-1","-12","-12","-7","-3"
"日本人移動者","紋別市","","-49","-11","-3","-38","7","2","-11","-18","-5"
"日本人移動者","士別市","","-46","-19","-8","-22","5","-4","-24","-24","-4"
"日本人移動者","名寄市","","103","-79","-20","36","-29","-17","67","-50","-3"
"日本人移動者","三笠市","","-14","1","3","-10","-1","-1","-4","2","4"
"日本人移動者","根室市","","-48","-26","-27","-11","-4","-24","-37","-22","-3"
"日本人移動者","千歳市","","415","-100","-103","303","-120","-46","112","20","-57"
"日本人移動者","滝川市","","88","-150","9","61","-79","-4","27","-71","13"
"日本人移動者","砂川市","","-16","4","-20","0","3","-8","-16","1","-12"
"日本人移動者","歌志内市","","0","-9","-8","1","-3","-2","-1","-6","-6"
"日本人移動者","深川市","","93","-106","-49","62","-55","-32","31","-51","-17"
"日本人移動者","富良野市","","-64","-32","-4","-41","3","-6","-23","-35","2"
"日本人移動者","登別市","","10","-133","-41","31","-72","-17","-21","-61","-24"
"日本人移動者","恵庭市","","110","-209","17","54","-93","-6","56","-116","23"
"日本人移動者","伊達市","","-69","-62","-15","-27","-22","-11","-42","-40","-4"
"日本人移動者","北広島市","","-20","-210","-60","-8","-99","-33","-12","-111","-27"
"日本人移動者","石狩市","","-39","-149","-16","-27","-82","-11","-12","-67","-5"
"日本人移動者","北斗市","","-102","-86","-19","-63","-26","3","-39","-60","-22"
"日本人移動者","石狩振興局","","1","-132","-23","-10","-56","-18","11","-76","-5"
"日本人移動者","渡島総合振興局","","-196","-174","24","-110","-73","10","-86","-101","14"
"日本人移動者","檜山振興局","","-83","-88","-31","-38","-34","-20","-45","-54","-11"
"日本人移動者","後志総合振興局","","-193","-98","33","-103","-3","21","-90","-95","12"
"日本人移動者","空知総合振興局","","-114","-208","-26","-54","-88","-21","-60","-120","-5"
"日本人移動者","上川総合振興局","","-199","-239","-15","-98","-87","0","-101","-152","-15"
"日本人移動者","留萌振興局","","-54","-33","1","-23","-14","-8","-31","-19","9"
"日本人移動者","宗谷総合振興局","","-81","-16","16","-25","5","5","-56","-21","11"
"日本人移動者","オホーツク総合振興局","","-199","-159","56","-66","-49","29","-133","-110","27"
"日本人移動者","胆振総合振興局","","-105","-173","-76","-31","-60","-54","-74","-113","-22"
