"","","","/表章項目","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】","転入超過数【人】"
"","","","/性別","総数","総数","総数","男","男","男","女","女","女"
"国籍","時間軸（年次）","地域","/年齢","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳","15～19歳","20～24歳","25～29歳"
"日本人移動者","2021年","全国市部","","10,844","20,649","4,832","5,474","9,055","2,660","5,370","11,594","2,172"
"日本人移動者","2021年","全国郡部","","-10,844","-20,649","-4,832","-5,474","-9,055","-2,660","-5,370","-11,594","-2,172"
"日本人移動者","2021年","北海道市部","","1,388","-1,991","-444","933","-903","-206","455","-1,088","-238"
"日本人移動者","2021年","北海道郡部","","-1,864","-1,365","-102","-861","-582","-42","-1,003","-783","-60"
"日本人移動者","2021年","札幌市","","1,822","2,056","389","835","795","304","987","1,261","85"
"日本人移動者","2021年","函館市","","-239","-260","-176","-146","-135","-82","-93","-125","-94"
"日本人移動者","2021年","小樽市","","-56","-259","-80","-37","-121","-44","-19","-138","-36"
"日本人移動者","2021年","旭川市","","-277","-248","-165","-131","-72","-64","-146","-176","-101"
"日本人移動者","2021年","室蘭市","","32","-128","-212","96","-87","-104","-64","-41","-108"
"日本人移動者","2021年","釧路市","","71","-365","-4","97","-188","-7","-26","-177","3"
"日本人移動者","2021年","帯広市","","32","98","-99","2","131","-44","30","-33","-55"
"日本人移動者","2021年","北見市","","-81","-115","30","-9","-10","4","-72","-105","26"
"日本人移動者","2021年","夕張市","","-21","-12","-16","-12","-5","-10","-9","-7","-6"
"日本人移動者","2021年","岩見沢市","","-35","-253","-65","-19","-133","-31","-16","-120","-34"
"日本人移動者","2021年","網走市","","70","-80","-26","50","-42","-8","20","-38","-18"
"日本人移動者","2021年","留萌市","","-4","-10","-43","23","-5","-22","-27","-5","-21"
"日本人移動者","2021年","苫小牧市","","-115","-91","120","-71","20","53","-44","-111","67"
"日本人移動者","2021年","稚内市","","-104","-4","-15","-52","21","-12","-52","-25","-3"
